NIR_iPPG,SPG
-0.00012869663888049265,0.00031838102855294957
-0.00023782452743347215,0.0004720135716303943
-0.00036204163447027613,0.000621615801121977
-0.0004998709755531759,0.0007614754243828038
-0.0006492601243383088,0.0008856153259499659
-0.0008075983475485817,0.0009880353355983206
-0.0009717593119683856,0.0010629665081275737
-0.0011381687186018748,0.0011051274937561543
-0.0013028944606850936,0.0011099724188849012
-0.0014617554227341414,0.001073919707684751
-0.0016104441069948157,0.0009945513405075958
-0.0017446579852171905,0.0008707721664098799
-0.0018602346975198155,0.0007029193317269534
-0.001953286687365792,0.0004928131092645689
-0.0020203313313045175,0.00024374272540482613
-0.002058412983414199,-3.9615843545501956e-05
-0.0020652135909917635,-0.0003513489786757882
-0.0020391486420525524,-0.0006845157527687483
-0.0019794451551935787,-0.0010314093165641944
-0.001886198241427343,-0.001383855189977112
-0.001760402598256407,-0.0017335293362815791
-0.0016039554111483784,-0.0020722773829686394
-0.0014196278420141408,-0.0023924167070295704
-0.0012110037378369647,-0.0026870054375057106
-0.0009823862638840297,-0.0029500663058312834
-0.0007386754724385931,-0.003176757831999769
-0.00048522194275961564,-0.0033634897295667316
-0.00022766329590003756,-0.003507983098959558
2.824854263759846e-05,-0.0036092786903951556
0.00027682109658038975,-0.003667698205915652
0.0005125883200758549,-0.003684764398975357
0.0007304642814627159,-0.0036630858287235017
0.0009258788921026543,-0.0036062117722508516
0.0010948930421797753,-0.003518462306340881
0.0012342921384835327,-0.0034047383468284818
0.001341657931358321,-0.0032703167880830507
0.0014154187127131093,-0.0031206367988375295
0.0014548778379058873,-0.0029610844972274043
0.0014602204504924237,-0.002796784290801312
0.0014324984141267396,-0.002632405831758375
0.0013735937481702328,-0.0024719955589326183
0.0012861613087716468,-0.002318841023389682
0.001173552125924029,-0.0021753746197151194
0.0010397197382080994,-0.002043121097099555
0.0008891129209207033,-0.0019226905370824283
0.0007265590495764988,-0.0018138157182325354
0.0005571426076791405,-0.0017154303932216059
0.000386082850783899,-0.001625783333046212
0.0002186135367168204,-0.0015425820756582273
5.986634092036394e-05,-0.0014631598529596208
-8.524150517144167e-05,-0.0013846587630990217
-0.00021211547966435963,-0.0013042216389342967
-0.0003165882347949938,-0.0012191842114254094
-0.0003950201495878249,-0.0011272582823145208
-0.00044439482086909674,-0.0010266960194826908
-0.00046240677347819415,-0.000916425432634257
-0.00044753693571586575,-0.0007961477202157202
-0.0003991100962218503,-0.0006663886109999873
-0.00031732820497705846,-0.0005284982027714185
-0.00020327432503900478,-0.0003845971730544921
-5.8884178592620795e-05,-0.0002374712993202493
0.00011311492325606783,-9.042030891439162e-05
0.0003092950251155571,5.2929529230081526e-05
0.0005256430169355692,0.00018883736198062036
0.0007576934070643551,0.00031367136296587086
0.0010006700490491614,0.00042413081831212785
0.001249628471386342,0.0005174539196740622
0.001499591537253557,0.0005915995072385942
0.0017456730930770032,0.0006453925774679467
0.0019831865005905053,0.0006786253999264188
0.0022077368491438187,0.0006921083857892333
0.00241529680237061,0.0006876672971028382
0.0026022664573033694,0.0006680860452108333
0.0027655176219826333,0.0006369973059554079
0.0029024229007847094,0.0005987263730809205
0.003010870065772736,0.0005580967211955817
0.003089262397644685,0.0005202082241536119
0.003136506049650028,0.0004902005462843943
0.003151986148957204,0.00047301475198117374
0.003135534351244794,0.0004731657257041191
0.0030873917061434936,0.0004945367697462261
0.0030081715429522158,0.0005402059916317631
0.0028988272002364894,0.000612311974224551
0.0027606285934519297,0.0007119638348556984
0.002595150002884363,0.0008391982179585432
0.002404269484504406,0.0009929831529834085
0.002190178357397688,0.0011712662071078103
0.001955397516831842,0.0013710621782009084
0.0017027959540149517,0.0015885739060194483
0.0014356059521777658,0.0018193387247680414
0.0011574291450852558,0.0020583926345770294
0.0008722280591029522,0.002300444397750543
0.0005842987908496893,0.002540052392860776
0.00029822179453039427,0.0027717979939606563
1.878908416008813e-05,0.002990450171193109
-0.00024909254074786025,0.0031911166673793245
-0.0005005211381505041,0.0033693774763626297
-0.0007307391259270446,0.0035213966462050656
-0.0009352874485173124,0.003644008885232592
-0.0011101671586986339,0.003734778193554358
-0.0012519996641188733,0.003792026836408659
-0.0013581761436536226,0.00381483441058614
-0.0014269866600944506,0.0038030084419421383
-0.0014577202367787566,0.0037570297629503317
-0.0014507286093773338,0.0036779777037506457
-0.0014074484869981447,0.003567441633996488
-0.00133037982629501,0.0034274262448738928
-0.0012230205136623642,0.0032602578906826786
-0.0010897604933730479,0.0030684983834188538
-0.0009357403777490831,0.0028548711552087267
-0.00076668082635906,0.0026222029233692293
-0.0005886896599493678,0.0023733820684379682
-0.0004080540267410508,0.0021113330895635323
-0.00023102510558518392,0.0018390050186373745
-6.360283076472662e-05,0.0015593707386599488
8.867205392320117e-05,0.0012754337687409228
0.00022091160760390644,0.0009902390947109589
0.00032905327337933387,0.0007068847517435863
0.00041000491567168566,0.00042853077480454603
0.00046175588183118495,0.00015840169913672179
0.00048344790033744687,-0.00010022172095462907
0.00047540045498660846,-0.0003440260110405737
0.00043908694231315626,-0.0005697074684757648
0.0003770603423996763,-0.0007740359224911203
0.00029283000925347613,-0.0009539397965232878
0.0001906942250420778,-0.0011066097347685114
7.553615729912139e-05,-0.0012296151395297093
-4.740639256557697e-05,-0.001321025463858546
-0.00017278485567230226,-0.0013795265866830436
-0.0002953835218149812,-0.0014045224794776926
-0.0004103491332196372,-0.0013962137824745382
-0.0005133941758669689,-0.001355647552214265
-0.0006009642915940185,-0.0012847355888269154
-0.0006703634874245158,-0.0011862415276987259
